org_id,name,district,addr,phone
1,光明新区医疗纠纷人民调解委员会,光明新区,光明区碧眼路一号信访大厅2楼,88211625
2,南山区医疗纠纷人民调解委员会,南山区,南山区民政公寓东座101号,26666702
3,坪山区医疗纠纷人民调解委员会,坪山区,坪山区坪慧路华瀚科技大厦1楼,84525503
4,宝安区医疗纠纷人民调解委员会,宝安区,宝安区新安街道海关大厦16楼1611,23005012
5,盐田区医疗纠纷人民调解委员会,盐田区,盐田区海山路77号悦林大厦一楼,22320000
6,福田区医疗纠纷人民调解委员会,福田区,福田区泰然九路213栋6B02,13798249824
7,罗湖区医疗纠纷人民调解委员会,罗湖区,罗湖区蛟湖路12号东门街道办事处,13713903704
8,龙华区医疗纠纷人民调解委员会,龙华区,龙华区大浪街道和平里花园一期E栋171号,23338057/15920010097
9,龙岗区医疗纠纷人民调解委员会,龙岗区,龙岗区如意路486号龙岗区施工安全监督站四楼,13533044682
10,深圳市卫生和计划生育委员会,全区,,
11,深圳市龙岗区卫生和计划生育局,龙岗区,,
12,深圳市宝安区卫生和计划生育局,宝安区,,
13,深圳市福田区卫生和计划生育局,福田区,,
14,深圳市深圳市龙华区卫生和计划生育局,龙华区,,
15,深圳市深圳市光明新区公共事业局,光明新区,,
16,深圳市南山区卫生和计划生育局,南山区,,
17,深圳市罗湖区卫生和计划生育局,罗湖区,,
18,深圳市福田区卫生和计划生育局,福田区,,
19,深圳市宝安区卫生和计划生育局,宝安区,,
20,深圳市罗湖区卫生和计划生育局,罗湖区,,
21,深圳市坪山区卫生和计划生育局,坪山区,,
22,深圳市龙岗区卫生和计划生育局,龙岗区,,
23,深圳市南山区卫生和计划生育局,南山区,,
24,深圳市盐田区卫生和计划生育局,盐田区,,
25,深圳市龙华区卫生和计划生育局,龙华区,,
26,深圳市坪山区卫生和计划生育局,坪山区,,
27,深圳市龙岗区卫生健康局,龙岗区,,
28,深圳市卫生健康委员会,全区,,
29,深圳市宝安区卫生健康局,宝安区,,
30,深圳市龙华区卫生健康局,龙华区,,
31,深圳市南山区卫生健康局,南山区,,
